LokacijaId;Nastanek;Ura;Leto;Skupina dogodka;Dogodek;WGSLat;WGSLon;OPIS
313193;01.01.2022;14:52;2022;Nesreče v gorah;nesreče v gorah;46,325943;13,850368;Ob 14.50 se je na Planini Krstenica, občina Bohinj, poškodovala turna smučarka. Gorski reševalci GRS Bohinj in združena ekipa HNMP-GRZS Brnik so poškodovano smučarko na kraju oskrbeli in s helikopterjem SV prepeljali v Splošno bolnico Jesenice.
313199;01.01.2022;16:53;2022;Nesreče v gorah;nesreče v gorah;46,495498;14,8156685;"Ob 16.53 sta pri sestopu s Pece v občini Črna na Koroškem planinki zgrešili pot v dolino. Do njunega vozila so ju pospremili gorski reševalci GRS Koroške.

"
313201;01.01.2022;17:54;2022;Nesreče v gorah;nesreče v gorah;46,423442;14,1762704;Ob 17.55 je od Prešernove koče proti Zabreški planini, naselje Zabreznica, občina Žirovnica, planinka zašla s planinske poti. Gorski reševalci GRS Radovljica so planinko našili in nepoškodovano na klasični način pospremili v dolino.
316225;01.03.2022;14:11;2022;Nesreče v gorah;nesreče v gorah;46,171168;14,2610702;Ob 14.11 je tik pod vrhom Lubnika, občina Škofja Loka, omagala planinka. Gorski reševalci GRS Škofja Loka so obolelo planinko oskrbeli in na nosilih prenesli do avtomobila ter prepeljali v ZD Škofja Loka.
320376;01.05.2022;17:28;2022;Nesreče v gorah;nesreče v gorah;46,3059029;13,8172426;Ob 17.28 so se na planini Viševnik, občina Bohinj, izgubili tuji planinci. Reševalci GRS Bohinj so nepoškodovane planince pospremili v dolino.
345681;01.05.2023;11:53;2023;Nesreče v gorah;nesreče v gorah;45,9037378;13,9102825;Ob 11.53 je pri izviru Hublja, občina Ajdovščina, pohodnika obšla slabost. Gorski reševalci GRS Tolmin – skupina Ajdovščina so pohodnika na klasičen način prenesli do ceste, kjer so ga v nadaljnjo oskrbo prevzeli reševalci NMP Ajdovščina.
345688;01.05.2023;16:11;2023;Nesreče v gorah;nesreče v gorah;46,3013796;13,8267747;Ob 16.11 sta na planinski poti od Planine Viševnik proti Planini Vogar, občina Bohinj, na zasneženem terenu zaradi neprimerne obutve obtičala dva nepoškodovana tuja planinca. Reševalci GRS Bohinj so ju našli izven planinske poti v bližini Brezna pri Gamsovi glavici in ju varno pospremili v dolino.
322268;01.06.2022;07:58;2022;Nesreče v gorah;nesreče v gorah;46,3794697;13,8495568;Ob 7.58 si je na Kredarici, občina Kranjska Gora, planinec izpahnil ramo. Gorski reševalci GRS Mojstrana in dežurna ekipa GRS Brnik so poškodovanca na kraju oskrbeli ter ga s helikopterjem Slovenske policije prepeljali v Splošno bolnico Jesenice.
327904;01.08.2022;13:42;2022;Nesreče v gorah;nesreče v gorah;46,4220572;13,6852072;Ob 13:42 sta v Jalovčevem ozebniku, občina Kranjska Gora obtičala planinca. Gorski reševalci GRS Rateče in dežurna ekipa GRS Brnik so ju s helikopterjem LPE prepeljali nazaj na izhodišče na Vršič. 
327924;01.08.2022;17:42;2022;Nesreče v gorah;nesreče v gorah;46,3059509;13,8175606;Ob 17.42 si je na planini Viševnik planinka poškodovala gleženj. Reševalci GRS Bohinj so za pomoč zaprosili policijski helikopter s posadko GRS na Brniku, ki so poleteli na planino in poškodovanko prepeljali v SB Jesenice.
331776;01.09.2022;20:14;2022;Nesreče v gorah;nesreče v gorah;46,199613;13,7773624;Ob 20.14 se je na območju med Planino Lom in Tolminskim Triglavom, občina Tolmin, izgubila oseba. Policisti in gorski reševalci postaje GRS Tolmin so pogrešano osebo so našli mrtvo. Smrtno se je ponesrečila pri padcu v grapo.
336317;01.11.2022;12:02;2022;Nesreče v gorah;nesreče v gorah;46,3586956;14,605475;Ob 12.02 je na zahodnem grebenu Planjave, Kamniška Bistrica, občina Kamnik, padajoča skala poškodovala roko plezalke, ki zaradi poškodbe ni mogla nadaljevati poti in uporabljati vrvne tehnike. Aktivirani so bili reševalci GRS Kamnik in helikopter SV z reševalno ekipo na krovu. Poškodovanko so odpeljal v UKC Ljubljana, njenega soplezalca pa v dolino.
338955;02.01.2023;12:04;2023;Nesreče v gorah;nesreče v gorah;46,1999894;15,1735816;Ob 12.13 se je na plezalni steni Katečnik v naselju Pongrac, občina Žalec, poškodoval plezalec. Reševalci GRS Celje so ga oskrbeli, z vrvno tehniko spustili na varno mesto in ga predali reševalcem NMP Celje. Prepeljali so ga v SB Celje.
