"datum","vhodi","izhodi"
"2022-06-20","3","0"
"2022-06-21","10","14"
"2022-06-22","1","2"
"2022-06-23","2","3"
"2022-06-24","4","4"
"2022-06-25","64","69"
"2022-06-26","53","42"
"2022-06-27","9","9"
"2022-06-28","3","5"
"2022-06-29","13","7"
"2022-06-30","10","7"
"2022-07-01","14","14"
"2022-07-02","34","34"
"2022-07-03","83","89"
"2022-07-04","7","6"
"2022-07-05","4","1"
"2022-07-06","24","17"
"2022-07-07","4","6"
"2022-07-08","4","10"
"2022-07-09","39","51"
"2022-07-10","127","99"
"2022-07-11","7","5"
"2022-07-12","26","11"
"2022-07-13","29","21"
"2022-07-14","9","5"
"2022-07-15","17","20"
"2022-07-16","41","29"
"2022-07-17","117","102"
"2022-07-18","10","8"
"2022-07-19","25","17"
"2022-07-20","12","15"
"2022-07-21","8","6"
"2022-07-22","10","15"
"2022-07-23","51","44"
"2022-07-24","111","102"
"2022-07-25","14","14"
"2022-07-26","12","7"
"2022-07-27","39","25"
"2022-07-28","68","54"
"2022-07-29","35","19"
"2022-07-30","7","3"
"2022-07-31","178","146"
"2022-08-01","9","9"
"2022-08-02","22","20"
"2022-08-03","45","32"
"2022-08-04","9","7"
"2022-08-05","10","2"
"2022-08-06","23","25"
"2022-08-07","156","146"
"2022-08-08","8","2"
"2022-08-09","27","34"
"2022-08-10","66","60"
"2022-08-11","20","18"
"2022-08-12","5","5"
"2022-08-13","9","2"
"2022-08-14","119","102"
"2022-08-15","205","196"
"2022-08-16","14","9"
"2022-08-17","32","35"
"2022-08-18","12","10"
"2022-08-19","17","6"
"2022-08-20","19","18"
"2022-08-21","59","60"
"2022-08-22","5","4"
"2022-08-23","3","4"
"2022-08-24","13","9"
"2022-08-25","3","1"
"2022-08-26","19","13"
"2022-08-27","52","49"
"2022-08-28","120","84"
"2022-08-29","2","2"
"2022-08-30","22","22"
"2022-08-31","5","6"
"2022-09-01","15","14"
"2022-09-02","15","13"
"2022-09-03","59","54"
"2022-09-04","48","56"
"2022-09-05","8","5"
"2022-09-06","23","22"
"2022-09-07","8","8"
"2022-09-08","6","6"
"2022-09-09","5","0"
"2022-09-10","28","24"
"2022-09-11","76","49"
"2022-09-12","2","2"
"2022-09-13","12","8"
"2022-09-14","14","11"
"2022-09-15","42","61"
"2022-09-16","1","0"
"2022-09-17","2","2"
"2022-09-18","92","78"
"2022-09-19","3","6"
"2022-09-20","9","6"
"2022-09-21","11","19"
"2022-09-22","8","8"
"2022-09-23","35","25"
"2022-09-24","38","40"
"2022-09-25","1","5"
"2022-09-26","3","1"
"2022-09-27","0","0"
"2022-09-28","31","27"
"2022-09-29","2","0"
"2022-09-30","1","0"
"2022-10-01","20","28"
"2022-10-02","91","67"
"2022-10-03","3","5"
"2022-10-04","5","9"
"2022-10-05","33","20"
"2022-10-06","19","14"
"2022-10-07","12","11"
"2022-10-08","55","62"
"2022-10-09","50","52"
"2022-10-10","3","3"
"2022-10-11","6","2"
"2022-10-12","8","5"
"2022-10-13","13","7"
"2022-10-14","4","0"
"2022-10-15","39","38"
"2022-10-16","91","60"
"2022-10-17","2","1"
"2022-10-18","20","21"
"2022-10-19","86","56"
"2022-10-20","5","4"
"2022-10-21","13","10"
"2022-10-22","11","10"
"2022-10-23","39","29"
"2022-10-24","10","10"
"2022-10-25","1","2"
"2022-10-26","7","1"
"2022-10-27","14","12"
"2022-10-28","6","20"
"2022-10-29","56","48"
"2022-10-30","128","91"
"2022-10-31","111","80"
"2022-11-01","104","65"
"2022-11-02","12","7"
"2022-11-03","4","5"
"2022-11-04","1","1"
"2022-11-05","14","15"
"2022-11-06","92","75"
"2022-11-07","2","2"
"2022-11-08","10","6"
"2022-11-09","4","3"
"2022-11-10","0","1"
"2022-11-11","6","4"
"2022-11-12","19","21"
"2022-11-13","45","35"
"2022-11-14","4","2"
"2022-11-15","0","0"
"2022-11-16","0","0"
"2022-11-17","6","5"
"2022-11-18","1","1"
"2022-11-19","11","7"
"2022-11-20","26","19"
"2022-11-21","6","6"
