"datum","vhodi","izhodi"
"2022-06-27","156","162"
"2022-06-28","38","28"
"2022-06-29","107","107"
"2022-06-30","140","148"
"2022-07-01","183","196"
"2022-07-02","576","571"
"2022-07-03","687","693"
"2022-07-04","128","125"
"2022-07-05","48","47"
"2022-07-06","122","120"
"2022-07-07","12","13"
"2022-07-08","56","51"
"2022-07-09","521","532"
"2022-07-10","184","197"
"2022-07-11","90","82"
"2022-07-12","84","86"
"2022-07-13","182","178"
"2022-07-14","142","140"
"2022-07-15","91","106"
"2022-07-16","360","370"
"2022-07-17","797","786"
"2022-07-18","165","174"
"2022-07-19","238","228"
"2022-07-20","307","295"
"2022-07-21","250","255"
"2022-07-22","226","251"
"2022-07-23","883","865"
"2022-07-24","536","560"
"2022-07-25","290","300"
"2022-07-26","35","36"
"2022-07-27","307","321"
"2022-07-28","348","361"
"2022-07-29","284","290"
"2022-07-30","67","86"
"2022-07-31","968","975"
"2022-08-01","195","209"
"2022-08-02","114","118"
"2022-08-03","485","488"
"2022-08-04","416","421"
"2022-08-05","405","508"
"2022-08-06","541","619"
"2022-08-07","1093","1146"
"2022-08-08","126","124"
"2022-08-09","472","472"
"2022-08-10","533","559"
"2022-08-11","436","463"
"2022-08-12","128","130"
"2022-08-13","64","71"
"2022-08-14","1537","1598"
"2022-08-15","1618","1613"
"2022-08-16","221","220"
"2022-08-17","425","438"
"2022-08-18","373","382"
"2022-08-19","200","219"
"2022-08-20","188","202"
"2022-08-21","397","399"
"2022-08-22","36","45"
"2022-08-23","37","45"
"2022-08-24","279","309"
"2022-08-25","128","130"
"2022-08-26","235","231"
"2022-08-27","382","407"
"2022-08-28","162","188"
"2022-08-29","44","41"
"2022-08-30","189","185"
"2022-08-31","80","79"
"2022-09-01","16","18"
"2022-09-02","85","80"
"2022-09-03","519","573"
"2022-09-04","398","415"
"2022-09-05","59","56"
"2022-09-06","139","138"
"2022-09-07","67","59"
"2022-09-08","159","204"
"2022-09-09","35","32"
"2022-09-10","238","256"
"2022-09-11","197","203"
"2022-09-12","59","76"
"2022-09-13","107","103"
"2022-09-14","75","68"
"2022-09-15","6","6"
"2022-09-16","14","15"
"2022-09-17","2","4"
"2022-09-18","264","272"
"2022-09-19","63","63"
"2022-09-20","91","89"
"2022-09-21","72","81"
"2022-09-22","138","133"
"2022-09-23","72","73"
"2022-09-24","322","342"
"2022-09-25","2","3"
"2022-09-26","5","10"
"2022-09-27","5","3"
"2022-09-28","40","41"
"2022-09-29","3","2"
"2022-09-30","6","6"
"2022-10-01","71","71"
"2022-10-02","142","150"
"2022-10-03","53","49"
"2022-10-04","56","53"
"2022-10-05","27","26"
"2022-10-06","54","55"
"2022-10-07","39","48"
"2022-10-08","890","864"
"2022-10-09","172","180"
"2022-10-10","48","67"
"2022-10-11","36","36"
