"datum","vhodi","izhodi"
"2022-06-15","26","20"
"2022-06-16","33","27"
"2022-06-17","50","29"
"2022-06-18","28","34"
"2022-06-19","22","18"
"2022-06-20","45","61"
"2022-06-21","15","16"
"2022-06-22","18","17"
"2022-06-23","7","12"
"2022-06-24","36","21"
"2022-06-25","45","31"
"2022-06-26","11","15"
"2022-06-27","30","37"
"2022-06-28","40","41"
"2022-06-29","17","25"
"2022-06-30","15","16"
"2022-07-01","15","14"
"2022-07-02","31","16"
"2022-07-03","28","12"
"2022-07-04","5","4"
"2022-07-05","16","18"
"2022-07-06","12","18"
"2022-07-07","6","8"
"2022-07-08","25","7"
"2022-07-09","7","10"
"2022-07-10","10","16"
"2022-07-12","0","0"
"2022-07-13","0","0"
"2022-07-14","10","5"
"2022-07-15","40","8"
"2022-07-16","18","18"
"2022-07-17","25","14"
"2022-07-18","16","14"
"2022-07-19","2","10"
"2022-07-20","22","27"
"2022-07-21","9","11"
"2022-07-22","8","8"
"2022-07-23","10","17"
"2022-07-24","7","10"
"2022-07-25","5","6"
"2022-07-26","2","5"
"2022-07-28","0","0"
"2022-07-29","1","0"
"2022-07-30","16","15"
"2022-07-31","13","14"
"2022-08-01","2","2"
"2022-08-02","7","10"
"2022-08-03","7","13"
"2022-08-04","5","13"
"2022-08-05","7","4"
"2022-08-06","21","23"
"2022-08-07","26","52"
"2022-08-08","8","18"
"2022-08-09","6","11"
"2022-08-10","26","21"
"2022-08-11","9","13"
"2022-08-12","2","6"
"2022-08-13","6","20"
"2022-08-14","31","37"
"2022-08-15","24","40"
"2022-08-16","3","4"
"2022-08-17","19","14"
"2022-08-18","5","14"
"2022-08-19","6","10"
"2022-08-20","17","15"
"2022-08-21","8","14"
"2022-08-22","2","5"
"2022-08-23","18","41"
"2022-08-24","27","40"
"2022-08-25","22","28"
"2022-08-26","8","15"
"2022-08-27","15","22"
"2022-08-28","16","16"
"2022-08-29","12","18"
"2022-08-30","12","10"
"2022-08-31","2","5"
"2022-09-01","12","16"
"2022-09-02","4","11"
"2022-09-03","31","50"
"2022-09-04","39","54"
"2022-09-05","34","25"
"2022-09-06","16","14"
"2022-09-07","50","42"
"2022-09-08","9","12"
"2022-09-09","29","29"
"2022-09-10","40","51"
"2022-09-11","63","48"
"2022-09-12","24","24"
"2022-09-13","23","41"
"2022-09-14","23","34"
"2022-09-15","20","20"
"2022-09-16","17","21"
"2022-09-17","24","19"
"2022-09-18","73","72"
"2022-09-19","38","67"
"2022-09-20","25","52"
"2022-09-21","59","85"
"2022-09-22","38","46"
"2022-09-23","93","55"
"2022-09-24","59","34"
"2022-09-25","0","0"
"2022-09-26","0","0"
"2022-09-27","0","0"
"2022-09-28","2","0"
"2022-09-29","0","0"
"2022-09-30","0","4"
"2022-10-01","0","0"
"2022-10-02","7","3"
"2022-10-03","0","0"
"2022-10-04","0","1"
"2022-10-05","0","0"
"2022-10-06","0","12"
"2022-10-07","1","6"
"2022-10-08","0","0"
"2022-10-09","1","6"
"2022-10-10","0","11"
"2022-10-11","0","0"
"2022-10-12","0","2"
"2022-10-13","0","0"
"2022-10-14","0","1"
"2022-10-15","6","29"
"2022-10-16","1","3"
"2022-10-17","0","5"
"2022-10-18","0","0"
"2022-10-19","0","0"
"2022-10-20","0","0"
"2022-10-21","0","0"
"2022-10-22","0","0"
"2022-10-23","0","0"
"2022-10-24","0","0"
"2022-10-25","0","0"
"2022-10-26","0","0"
"2022-10-27","0","0"
"2022-10-28","0","0"
"2022-10-29","0","0"
"2022-10-30","69","44"
"2022-10-31","80","83"
"2022-11-01","65","76"
"2022-11-02","45","28"
"2022-11-03","29","12"
"2022-11-04","7","1"
"2022-11-05","69","228"
"2022-11-06","103","77"
"2022-11-07","4","9"
"2022-11-08","11","11"
"2022-11-09","10","9"
"2022-11-10","3","0"
"2022-11-11","30","27"
"2022-11-12","79","94"
"2022-11-13","93","103"
"2022-11-14","9","17"
"2022-11-15","1","0"
"2022-11-16","0","2"
"2022-11-17","4","4"
"2022-11-18","4","43"
"2022-11-19","153","125"
"2022-11-20","184","172"
"2022-11-21","20","24"
"2022-11-22","5","2"
"2022-11-23","12","25"
"2022-11-24","67","64"
"2022-11-25","39","46"
"2022-11-26","133","157"
"2022-11-27","271","312"
"2022-11-28","20","29"
"2022-11-29","29","27"
"2022-11-30","21","20"
"2022-12-01","36","29"
"2022-12-02","37","33"
"2022-12-03","86","83"
"2022-12-04","58","69"
"2022-12-05","5","4"
"2022-12-06","33","37"
"2022-12-07","10","17"
"2022-12-08","66","107"
"2022-12-09","10","6"
"2022-12-10","59","70"
"2022-12-11","16","57"
"2022-12-12","19","21"
"2022-12-13","31","19"
"2022-12-14","9","12"
"2022-12-15","18","24"
"2022-12-16","0","2"
"2022-12-17","49","40"
"2022-12-18","177","186"
"2022-12-19","25","26"
"2022-12-20","16","19"
"2022-12-21","11","12"
"2022-12-22","20","25"
"2022-12-23","9","11"
"2022-12-24","20","37"
"2022-12-25","22","21"
"2022-12-26","68","28"
"2022-12-27","41","53"
"2022-12-28","116","112"
"2022-12-29","43","57"
"2022-12-30","36","33"
"2022-12-31","63","83"
"2023-01-01","69","65"
"2023-01-02","40","25"
"2023-01-03","24","24"
"2023-01-04","34","30"
"2023-01-05","36","37"
"2023-01-06","58","58"
"2023-01-07","52","64"
"2023-01-08","47","34"
"2023-01-09","2","3"
"2023-01-10","48","26"
"2023-01-11","21","26"
"2023-01-12","17","17"
"2023-01-13","10","18"
"2023-01-14","150","108"
"2023-01-15","31","34"
"2023-01-16","1","0"
"2023-01-17","3","3"
"2023-01-18","3","3"
"2023-01-19","7","7"
"2023-01-20","5","6"
"2023-01-21","185","152"
"2023-01-22","27","37"
"2023-01-23","3","1"
"2023-01-24","21","21"
"2023-01-25","19","14"
"2023-01-26","16","18"
"2023-01-27","17","24"
"2023-01-28","71","43"
"2023-01-29","46","55"
"2023-01-30","16","13"
"2023-01-31","31","19"
"2023-02-01","26","25"
"2023-02-02","24","20"
"2023-02-03","39","41"
"2023-02-04","174","178"
"2023-02-05","76","62"
"2023-02-06","28","29"
"2023-02-07","16","23"
"2023-02-08","106","106"
"2023-02-09","37","42"
"2023-02-10","58","49"
"2023-02-11","63","108"
"2023-02-12","117","127"
"2023-02-13","20","19"
"2023-02-14","24","26"
"2023-02-15","33","40"
"2023-02-16","21","37"
"2023-02-17","29","29"
"2023-02-18","159","145"
"2023-02-19","110","102"
"2023-02-20","52","47"
"2023-02-21","37","30"
"2023-02-22","33","32"
"2023-02-23","15","11"
"2023-02-24","27","23"
"2023-02-25","40","43"
"2023-02-26","1","1"
"2023-02-27","0","3"
"2023-02-28","2","0"
"2023-03-01","0","0"
"2023-03-02","34","60"
"2023-03-03","54","47"
"2023-03-04","188","199"
"2023-03-05","181","215"
"2023-03-06","8","10"
"2023-03-07","37","34"
"2023-03-08","19","17"
"2023-03-09","55","52"
"2023-03-10","50","53"
"2023-03-11","163","170"
"2023-03-12","284","267"
"2023-03-13","42","28"
"2023-03-14","13","13"
"2023-03-15","28","15"
"2023-03-16","79","57"
"2023-03-17","86","76"
"2023-03-18","96","101"
"2023-03-19","89","115"
"2023-03-20","19","16"
"2023-03-21","20","10"
"2023-03-22","41","32"
"2023-03-23","33","13"
"2023-03-27","19","19"
"2023-03-28","33","41"
"2023-03-29","43","33"
"2023-03-30","38","40"
"2023-03-31","30","40"
"2023-04-01","17","23"
"2023-04-02","29","16"
"2023-04-03","12","0"
"2023-04-04","3","3"
"2023-04-05","7","12"
"2023-04-06","3","12"
"2023-04-07","2","5"
"2023-04-08","12","16"
"2023-04-09","28","40"
"2023-04-10","39","42"
"2023-04-11","0","1"
"2023-04-12","2","0"
"2023-04-13","0","0"
"2023-04-14","747","772"
"2023-04-15","74","82"
"2023-04-16","161","155"
"2023-04-17","43","52"
"2023-04-18","82","57"
"2023-04-19","45","45"
"2023-04-20","48","55"
"2023-04-21","39","47"
"2023-04-22","128","116"
"2023-04-23","114","134"
"2023-04-24","28","22"
"2023-04-25","34","43"
"2023-04-26","58","59"
"2023-04-27","87","92"
"2023-04-28","136","105"
"2023-04-29","276","285"
"2023-04-30","263","259"
"2023-05-01","160","203"
"2023-05-02","37","38"
"2023-05-03","107","155"
"2023-05-04","91","118"
"2023-05-05","79","78"
"2023-05-06","111","84"
"2023-05-07","47","64"
"2023-05-08","48","53"
"2023-05-09","32","41"
"2023-05-10","27","19"
"2023-05-11","15","21"
"2023-05-12","18","23"
"2023-05-13","37","39"
"2023-05-14","70","63"
"2023-05-15","11","16"
"2023-05-16","19","19"
"2023-05-17","43","51"
"2023-05-18","106","95"
"2023-05-19","123","139"
"2023-05-20","118","120"
"2023-05-21","141","125"
"2023-05-22","15","11"
"2023-05-23","24","24"
"2023-05-24","34","35"
"2023-05-25","71","57"
"2023-05-26","49","81"
"2023-05-27","42","53"
"2023-05-28","85","117"
"2023-05-29","41","53"
"2023-05-30","17","44"
"2023-05-31","26","30"
"2023-06-01","25","17"
"2023-06-02","82","91"
"2023-06-03","100","100"
"2023-06-04","103","98"
"2023-06-05","18","17"
"2023-06-06","21","21"
"2023-06-07","32","41"
"2023-06-08","24","22"
"2023-06-09","54","58"
"2023-06-10","61","77"
"2023-06-11","67","69"
"2023-06-12","31","34"
"2023-06-13","20","21"
"2023-06-14","13","11"
"2023-06-15","21","8"
"2023-06-16","30","35"
"2023-06-17","12","24"
"2023-06-18","37","27"
"2023-06-19","2","3"
"2023-06-20","3","14"
"2023-06-21","4","6"
"2023-06-22","18","15"
"2023-06-23","10","30"
"2023-06-24","16","28"
"2023-06-25","25","22"
"2023-06-26","16","13"
"2023-06-27","19","21"
"2023-06-28","35","29"
"2023-06-29","21","16"
"2023-06-30","12","20"
"2023-07-01","51","49"
"2023-07-02","14","16"
"2023-07-03","17","13"
"2023-07-04","9","5"
"2023-07-05","22","30"
"2023-07-06","13","8"
"2023-07-07","0","0"
"2023-07-08","0","0"
"2023-07-09","0","0"
"2023-07-10","0","0"
"2023-07-11","0","0"
"2023-07-12","0","0"
"2023-07-13","0","0"
"2023-07-14","0","0"
"2023-07-15","0","0"
"2023-07-16","0","0"
"2023-07-17","3","10"
"2023-07-18","10","4"
"2023-07-19","8","6"
"2023-07-20","25","17"
"2023-07-21","19","25"
"2023-07-22","16","13"
"2023-07-23","15","14"
"2023-07-24","13","14"
"2023-07-25","6","8"
"2023-07-26","31","30"
"2023-07-27","22","25"
"2023-07-28","19","23"
"2023-07-29","27","24"
"2023-07-30","20","21"
"2023-07-31","18","20"
"2023-08-01","30","27"
"2023-08-02","13","17"
"2023-08-03","38","28"
"2023-08-04","34","14"
"2023-08-05","16","17"
"2023-08-06","10","12"
"2023-08-07","17","18"
"2023-08-08","23","29"
"2023-08-09","23","19"
"2023-08-10","25","21"
"2023-08-11","20","21"
"2023-08-12","12","14"
"2023-08-13","27","26"
"2023-08-14","11","5"
"2023-08-15","17","29"
"2023-08-16","8","8"
"2023-08-17","6","6"
"2023-08-18","6","5"
"2023-08-19","16","19"
"2023-08-20","5","2"
"2023-08-21","15","15"
"2023-08-22","11","17"
"2023-08-23","5","2"
"2023-08-24","2","13"
"2023-08-25","3","8"
"2023-08-26","10","3"
"2023-08-27","14","12"
"2023-08-28","9","9"
"2023-08-29","18","20"
"2023-08-30","7","6"
"2023-08-31","16","14"
"2023-09-01","15","13"
"2023-09-02","7","7"
"2023-09-03","15","21"
"2023-09-04","2","0"
"2023-09-05","13","15"
"2023-09-06","3","6"
"2023-09-07","8","11"
"2023-09-08","12","10"
"2023-09-09","15","15"
"2023-09-10","12","13"
"2023-09-11","5","5"
"2023-09-12","5","3"
"2023-09-13","14","16"
"2023-09-14","12","15"
"2023-09-15","15","17"
"2023-09-16","31","15"
"2023-09-17","21","13"
"2023-09-18","4","6"
"2023-09-19","14","8"
"2023-09-20","11","13"
"2023-09-21","14","16"
"2023-09-22","10","11"
"2023-09-23","26","42"
"2023-09-24","73","71"
"2023-09-25","13","17"
"2023-09-26","17","16"
"2023-09-27","16","17"
"2023-09-28","21","20"
"2023-09-29","8","22"
"2023-09-30","23","14"
"2023-10-01","64","29"
"2023-10-02","9","17"
"2023-10-03","13","11"
"2023-10-04","13","2"
"2023-10-05","21","26"
"2023-10-06","7","5"
"2023-10-07","42","46"
"2023-10-08","52","47"
"2023-10-09","6","6"
"2023-10-10","11","11"
"2023-10-11","13","13"
"2023-10-12","18","13"
"2023-10-13","14","14"
"2023-10-14","46","58"
"2023-10-15","1","8"
"2023-10-16","12","11"
"2023-10-17","24","21"
"2023-10-18","17","16"
"2023-10-19","1","3"
"2023-10-20","3","3"
"2023-10-21","44","50"
"2023-10-22","49","57"
"2023-10-23","19","27"
"2023-10-24","7","4"
"2023-10-25","7","7"
"2023-10-26","11","18"
"2023-10-27","4","2"
"2023-10-28","149","139"
"2023-10-29","81","78"
"2023-10-30","12","11"
"2023-10-31","11","10"
"2023-11-01","86","83"
"2023-11-02","9","27"
"2023-11-03","14","12"
"2023-11-04","119","140"
"2023-11-05","13","11"
"2023-11-06","7","11"
"2023-11-07","11","9"
"2023-11-08","10","11"
"2023-11-09","19","20"
"2023-11-10","2","3"
"2023-11-11","160","155"
"2023-11-12","125","59"
"2023-11-13","6","6"
"2023-11-14","14","14"
"2023-11-15","12","18"
"2023-11-16","19","26"
"2023-11-17","51","59"
"2023-11-18","159","155"
"2023-11-19","142","137"
"2023-11-20","13","15"
"2023-11-21","3","2"
"2023-11-22","6","5"
"2023-11-23","26","25"
"2023-11-24","11","10"
"2023-11-25","103","100"
"2023-11-26","103","107"
"2023-11-27","1","2"
"2023-11-28","6","6"
"2023-11-29","27","28"
"2023-11-30","0","0"
"2023-12-01","1","1"
"2023-12-02","1","1"
"2023-12-03","0","0"
"2023-12-10","41","41"
"2023-12-11","2","2"
"2023-12-12","0","0"
"2023-12-13","0","0"
"2023-12-14","8","7"
"2023-12-15","20","30"
"2023-12-16","92","96"
"2023-12-17","124","120"
"2023-12-18","12","12"
"2023-12-19","12","15"
"2023-12-20","19","19"
"2023-12-21","15","15"
"2023-12-22","20","13"
"2023-12-23","53","57"
"2023-12-24","74","75"
"2023-12-25","30","34"
"2023-12-26","35","43"
"2023-12-27","48","40"
"2023-12-28","20","23"
"2023-12-29","22","20"
"2023-12-30","43","19"
"2023-12-31","6","4"
"2024-01-01","37","31"
"2024-01-02","45","57"
"2024-01-03","4","3"
"2024-01-04","33","26"
"2024-01-05","20","15"
"2024-01-06","0","0"
"2024-01-07","11","13"
"2024-01-08","0","0"
"2024-01-09","4","3"
"2024-01-10","8","6"
"2024-01-11","5","6"
"2024-01-12","11","11"
"2024-01-13","83","85"
"2024-01-14","20","22"
"2024-01-15","13","12"
"2024-01-16","23","21"
"2024-01-17","0","0"
"2024-01-18","0","0"
"2024-01-19","0","0"
"2024-01-20","33","37"
"2024-01-21","117","125"
"2024-01-22","5","5"
"2024-01-23","0","0"
"2024-01-24","1","6"
"2024-01-28","0","0"
