"datum","vhodi","izhodi"
"2022-07-19","32","40"
"2022-07-20","63","81"
"2022-07-21","117","136"
"2022-07-22","199","169"
"2022-07-23","254","195"
"2022-07-24","61","64"
"2022-07-25","65","63"
"2022-07-26","68","66"
"2022-07-27","12","13"
"2022-07-28","103","111"
"2022-07-29","72","65"
"2022-07-30","7","9"
"2022-07-31","236","237"
"2022-08-01","59","55"
"2022-08-02","12","10"
"2022-08-03","62","62"
"2022-08-04","53","50"
"2022-08-05","35","44"
"2022-08-06","17","16"
"2022-08-07","104","93"
"2022-08-08","26","28"
"2022-08-09","57","69"
"2022-08-10","84","79"
"2022-08-11","75","70"
"2022-08-12","19","15"
"2022-08-13","15","16"
"2022-08-14","259","227"
"2022-08-15","166","156"
"2022-08-16","28","31"
"2022-08-17","79","74"
"2022-08-18","57","62"
"2022-08-19","3","3"
"2022-08-20","148","132"
"2022-08-21","34","67"
"2022-08-22","5","1"
"2022-08-23","15","11"
"2022-08-24","53","61"
"2022-08-25","31","28"
"2022-08-26","25","16"
"2022-08-27","14","16"
"2022-08-28","5","3"
"2022-08-29","4","11"
"2022-08-30","53","43"
"2022-08-31","4","3"
"2022-09-01","0","0"
"2022-09-02","8","6"
"2022-09-03","52","62"
"2022-09-04","19","33"
"2022-09-05","16","23"
"2022-09-06","49","51"
"2022-09-07","5","9"
"2022-09-08","0","0"
"2022-09-09","5","0"
"2022-09-10","10","20"
"2022-09-11","28","25"
"2022-09-12","21","18"
"2022-09-13","18","21"
"2022-09-14","5","9"
"2022-09-15","1","1"
"2022-09-16","3","1"
"2022-09-17","10","7"
"2022-09-18","38","32"
"2022-09-19","15","9"
"2022-09-20","12","14"
"2022-09-21","19","19"
"2022-09-22","11","8"
"2022-09-23","56","43"
"2022-09-24","63","67"
"2022-09-25","0","0"
"2022-09-26","5","4"
"2022-09-27","0","0"
"2022-09-28","23","23"
"2022-09-29","2","1"
"2022-09-30","0","0"
"2022-10-01","3","1"
"2022-10-02","34","46"
"2022-10-03","2","1"
"2022-10-04","8","5"
"2022-10-05","11","15"
"2022-10-06","7","13"
"2022-10-07","8","29"
"2022-10-08","82","83"
"2022-10-09","5","7"
"2022-10-10","7","5"
"2022-10-11","7","4"
"2022-10-12","6","5"
"2022-10-13","34","36"
"2022-10-14","14","14"
"2022-10-15","75","62"
"2022-10-16","206","165"
"2022-10-17","12","11"
"2022-10-18","35","26"
"2022-10-19","42","33"
"2022-10-20","0","0"
"2022-10-21","22","18"
"2022-10-22","10","6"
"2022-10-23","40","25"
"2022-10-24","1","0"
"2022-10-25","3","0"
"2022-10-26","19","14"
"2022-10-27","41","31"
"2022-10-28","23","22"
"2022-10-29","199","160"
"2022-10-30","204","180"
"2022-10-31","218","172"
"2022-11-01","50","62"
"2022-11-02","6","5"
"2022-11-03","1","0"
"2022-11-04","0","0"
"2022-11-05","26","25"
"2022-11-06","185","147"
"2022-11-07","18","11"
"2022-11-08","20","22"
"2022-11-09","5","5"
"2022-11-10","0","0"
"2022-11-11","8","9"
"2022-11-12","41","41"
"2022-11-13","114","84"
"2022-11-14","1","1"
"2022-11-15","5","4"
"2022-11-16","0","0"
"2022-11-17","4","5"
"2022-11-18","0","0"
"2022-11-19","7","8"
"2022-11-20","7","4"
"2022-11-21","2","1"
"2022-11-22","1","0"
"2022-11-23","2","0"
"2022-11-24","1","0"
"2022-11-25","0","0"
"2022-11-26","15","9"
"2022-11-27","4","0"
"2022-11-28","0","0"
"2022-11-29","0","0"
"2022-11-30","2","0"
"2022-12-01","0","0"
"2022-12-02","0","0"
"2022-12-03","0","0"
"2022-12-04","0","0"
"2022-12-05","0","0"
"2022-12-06","0","0"
"2022-12-07","2","3"
"2022-12-08","0","0"
"2022-12-09","0","0"
"2022-12-10","0","0"
"2022-12-11","0","0"
"2022-12-12","0","0"
"2022-12-13","0","0"
"2022-12-14","0","0"
"2022-12-15","0","0"
"2022-12-16","0","0"
"2022-12-17","0","0"
"2022-12-18","0","0"
"2022-12-19","0","0"
"2022-12-20","0","0"
"2022-12-21","0","0"
"2022-12-22","0","0"
"2022-12-23","0","0"
"2022-12-24","0","0"
"2022-12-25","0","0"
"2022-12-26","0","0"
"2022-12-27","0","0"
