"datum","vhodi","izhodi"
"2022-06-01","696","592"
"2022-06-02","392","351"
"2022-06-03","627","501"
"2022-06-04","1250","1238"
"2022-06-05","1258","1208"
"2022-06-06","721","661"
"2022-06-07","475","454"
"2022-06-08","603","572"
"2022-06-09","295","284"
"2022-06-10","832","755"
"2022-06-11","1276","1173"
"2022-06-12","1489","1349"
"2022-06-13","417","397"
"2022-06-14","988","881"
"2022-06-15","751","800"
"2022-06-16","845","824"
"2022-06-17","960","914"
"2022-06-18","1666","1598"
"2022-06-19","1479","1367"
"2022-06-20","644","604"
"2022-06-21","773","730"
"2022-06-22","712","678"
"2022-06-23","637","596"
"2022-06-24","773","676"
"2022-06-25","1590","1444"
"2022-06-26","1774","1757"
"2022-06-27","1149","892"
"2022-06-28","1464","916"
"2022-06-29","749","703"
"2022-06-30","1066","934"
"2022-07-01","1241","1031"
"2022-07-02","2731","1909"
"2022-07-03","3068","2602"
"2022-07-04","1767","1750"
"2022-07-05","1360","1315"
"2022-07-06","1599","1623"
"2022-07-07","956","980"
"2022-07-08","1643","1576"
"2022-07-09","2052","2008"
"2022-07-10","1923","2022"
"2022-07-11","1545","1528"
"2022-07-12","1165","982"
"2022-07-13","2401","1665"
"2022-07-14","1625","1629"
"2022-07-15","1128","1167"
"2022-07-16","1511","1314"
"2022-07-17","2243","2346"
"2022-07-18","1983","1670"
"2022-07-19","2046","1874"
"2022-07-20","2279","1990"
"2022-07-21","2023","1655"
"2022-07-22","1759","1512"
"2022-07-23","2106","1776"
"2022-07-24","2202","2089"
"2022-07-25","2048","1736"
"2022-07-26","1589","1483"
"2022-07-27","2076","2046"
"2022-07-28","2188","2240"
"2022-07-29","1684","1590"
"2022-07-30","1775","1318"
"2022-07-31","11945","2354"
"2022-08-01","5158","1802"
"2022-08-02","4436","1923"
"2022-08-03","4781","2460"
"2022-08-04","4713","2226"
"2022-08-05","3594","1888"
"2022-08-06","1713","1771"
"2022-08-07","2088","1933"
"2022-08-08","34704","1899"
"2022-08-09","107091","2306"
"2022-08-10","119243","1955"
"2022-08-11","75829","2006"
"2022-08-12","66915","1290"
"2022-08-13","67269","1558"
"2022-08-14","162169","2110"
"2022-08-15","43149","2099"
"2022-08-16","50974","1623"
"2022-08-17","23592","1803"
"2022-08-18","10658","1567"
"2022-08-19","93190","930"
"2022-08-20","140183","1740"
"2022-08-21","59440","2095"
"2022-08-22","1741","1629"
"2022-08-23","69480","1821"
"2022-08-24","41364","1836"
"2022-08-25","4901","1589"
"2022-08-26","15247","1278"
"2022-08-27","29743","907"
"2022-08-28","9263","921"
"2022-08-29","5794","929"
"2022-08-30","14344","869"
"2022-08-31","21742","300"
"2022-09-01","80282","256"
"2022-09-02","97231","450"
"2022-09-03","44270","846"
"2022-09-04","4381","643"
"2022-09-05","837","513"
"2022-09-06","66007","581"
"2022-09-07","77122","492"
"2022-09-08","72814","148"
"2022-09-09","65142","116"
"2022-09-10","108950","417"
"2022-09-11","160310","611"
"2022-09-12","100926","603"
"2022-09-13","628","799"
"2022-09-14","235","342"
"2022-09-15","83","81"
"2022-09-16","56","51"
"2022-09-17","108","125"
"2022-09-18","468","432"
"2022-09-19","262","300"
"2022-09-20","497","385"
"2022-09-21","265","308"
"2022-09-22","271","348"
"2022-09-23","221","259"
"2022-09-24","146","174"
"2022-09-25","38","39"
"2022-09-26","84","116"
"2022-09-27","24","23"
"2022-09-28","75","95"
"2022-09-29","29","28"
"2022-09-30","15","11"
"2022-10-01","92","55"
"2022-10-02","151","221"
"2022-10-03","81","66"
"2022-10-04","90","118"
"2022-10-05","112","122"
"2022-10-06","115","130"
"2022-10-07","186","179"
"2022-10-08","306","264"
"2022-10-09","143","220"
"2022-10-10","80","76"
"2022-10-11","89","98"
"2022-10-12","73","73"
"2022-10-13","97","85"
"2022-10-14","103","77"
"2022-10-15","232","224"
"2022-10-16","292","281"
"2022-10-17","67","59"
"2022-10-18","132","108"
"2022-10-19","131","127"
"2022-10-20","65","51"
"2022-10-21","44","49"
"2022-10-22","15","10"
"2022-10-23","138","98"
"2022-10-24","10","7"
"2022-10-25","32","33"
"2022-10-26","61","43"
"2022-10-27","122","107"
"2022-10-28","138","119"
"2022-10-29","497","439"
"2022-10-30","708","684"
"2022-10-31","603","631"
"2022-11-01","325","325"
"2022-11-02","50","55"
"2022-11-03","15","15"
"2022-11-04","12","7"
"2022-11-05","107","85"
"2022-11-06","174","134"
"2022-11-07","23","19"
"2022-11-08","37","35"
"2022-11-09","50","53"
"2022-11-10","24","16"
"2022-11-11","91","65"
"2022-11-12","674","587"
"2022-11-13","280","289"
"2022-11-14","51","42"
"2022-11-15","4","1"
"2022-11-16","0","0"
"2022-11-17","29","22"
"2022-11-18","26","13"
"2022-11-19","42","54"
"2022-11-20","49","60"
"2022-11-21","35","28"
"2022-11-22","10","8"
"2022-11-23","13","10"
"2022-11-24","43","39"
"2022-11-25","23","15"
"2022-11-26","32","23"
"2022-11-27","38","40"
"2022-11-28","37","31"
"2022-11-29","25","22"
"2022-11-30","37","21"
"2022-12-01","22","19"
"2022-12-02","12","9"
"2022-12-03","7","7"
"2022-12-04","6","7"
"2022-12-05","3","3"
"2022-12-06","21","20"
"2022-12-07","14","12"
"2022-12-08","11","5"
"2022-12-09","4","4"
"2022-12-10","3","3"
"2022-12-11","4","7"
"2022-12-12","14","11"
"2022-12-13","36","32"
"2022-12-14","9","4"
