"datum","vhodi","izhodi"
"2022-07-15","147","205"
"2022-07-16","369","308"
"2022-07-17","857","708"
"2022-07-18","519","435"
"2022-07-19","563","453"
"2022-07-20","627","558"
"2022-07-21","633","552"
"2022-07-22","659","601"
"2022-07-23","954","900"
"2022-07-24","643","566"
"2022-07-25","755","663"
"2022-07-26","307","303"
"2022-07-27","605","530"
"2022-07-28","908","822"
"2022-07-29","417","373"
"2022-07-30","550","516"
"2022-07-31","1237","1029"
"2022-08-01","738","591"
"2022-08-02","503","443"
"2022-08-03","961","856"
"2022-08-04","818","681"
"2022-08-05","467","740"
"2022-08-06","393","345"
"2022-08-07","319","261"
"2022-08-08","251","202"
"2022-08-09","1090","970"
"2022-08-10","987","902"
"2022-08-11","962","855"
"2022-08-12","302","279"
"2022-08-13","720","643"
"2022-08-14","1309","1188"
"2022-08-15","858","772"
"2022-08-16","594","595"
"2022-08-17","1023","925"
"2022-08-18","630","569"
"2022-08-19","108","77"
"2022-08-20","593","552"
"2022-08-21","901","835"
"2022-08-22","521","477"
"2022-08-23","563","512"
"2022-08-24","826","783"
"2022-08-25","524","508"
"2022-08-26","448","415"
"2022-08-27","324","304"
"2022-08-28","186","177"
"2022-08-29","433","368"
"2022-08-30","469","398"
"2022-08-31","30","22"
"2022-09-01","199","168"
"2022-09-02","515","481"
"2022-09-03","629","583"
"2022-09-04","468","426"
"2022-09-05","432","376"
"2022-09-06","533","488"
"2022-09-07","297","275"
"2022-09-08","78","81"
"2022-09-09","66","44"
"2022-09-10","374","343"
"2022-09-11","622","521"
"2022-09-12","492","508"
"2022-09-13","398","395"
"2022-09-14","119","118"
"2022-09-15","54","48"
"2022-09-16","53","41"
"2022-09-17","82","54"
"2022-09-18","378","339"
"2022-09-19","320","268"
"2022-09-20","309","282"
"2022-09-21","308","264"
"2022-09-22","370","334"
"2022-09-23","338","321"
"2022-09-24","288","340"
"2022-09-25","21","14"
"2022-09-26","91","64"
"2022-09-27","35","11"
"2022-09-28","73","63"
"2022-09-29","16","15"
"2022-09-30","12","11"
"2022-10-01","109","83"
"2022-10-02","364","360"
"2022-10-03","187","176"
"2022-10-04","172","158"
"2022-10-05","258","253"
"2022-10-06","290","261"
"2022-10-07","279","264"
"2022-10-08","1024","1005"
"2022-10-09","209","174"
"2022-10-10","107","103"
"2022-10-11","249","248"
"2022-10-12","134","123"
"2022-10-13","238","237"
"2022-10-14","299","296"
"2022-10-15","950","896"
"2022-10-16","1802","1696"
"2022-10-17","266","247"
"2022-10-18","544","518"
"2022-10-19","550","518"
"2022-10-20","89","87"
"2022-10-21","89","76"
"2022-10-22","2","3"
"2022-10-23","278","269"
"2022-10-24","11","9"
"2022-10-25","27","29"
"2022-10-26","178","196"
"2022-10-27","329","319"
"2022-10-28","407","384"
"2022-10-29","999","919"
"2022-10-30","1572","1405"
"2022-10-31","1383","1264"
"2022-11-01","673","627"
"2022-11-02","139","125"
"2022-11-03","15","9"
"2022-11-04","4","2"
"2022-11-05","130","124"
"2022-11-06","410","388"
"2022-11-07","66","55"
"2022-11-08","56","62"
"2022-11-09","2","4"
"2022-11-10","1","0"
"2022-11-11","33","27"
"2022-11-12","115","106"
"2022-11-13","207","196"
"2022-11-14","6","6"
"2022-11-15","0","0"
"2022-11-16","0","2"
"2022-11-17","8","4"
"2022-11-18","0","0"
"2022-11-19","0","0"
"2022-11-20","0","0"
"2022-11-21","0","0"
"2022-11-22","0","0"
"2023-06-22","53","120"
"2023-06-23","171","157"
"2023-06-24","540","493"
"2023-06-25","661","590"
"2023-06-26","406","371"
"2023-06-27","170","126"
"2023-06-28","210","202"
"2023-06-29","479","438"
"2023-06-30","453","381"
"2023-07-01","106","113"
"2023-07-02","719","628"
"2023-07-03","89","59"
"2023-07-04","490","419"
"2023-07-05","497","478"
"2023-07-06","358","295"
"2023-07-07","771","687"
"2023-07-08","931","827"
"2023-07-09","903","772"
"2023-07-10","570","479"
"2023-07-11","610","573"
"2023-07-12","706","582"
"2023-07-13","136","119"
"2023-07-14","730","615"
"2023-07-15","1032","947"
"2023-07-16","1515","1456"
"2023-07-17","525","438"
"2023-07-18","679","615"
"2023-07-19","498","450"
"2023-07-20","486","442"
"2023-07-21","160","153"
"2023-07-22","332","293"
"2023-07-23","1153","1123"
"2023-07-24","862","747"
"2023-07-25","188","167"
"2023-07-26","494","475"
"2023-07-27","902","829"
"2023-07-28","891","826"
"2023-07-29","804","744"
"2023-07-30","358","299"
"2023-07-31","672","555"
"2023-08-01","346","247"
"2023-08-02","899","810"
"2023-08-03","353","266"
"2023-08-04","51","48"
"2023-08-05","29","28"
"2023-08-06","238","191"
"2023-08-07","554","521"
"2023-08-08","838","761"
"2023-08-09","382","362"
"2023-08-10","525","459"
"2023-08-11","891","748"
"2023-08-12","882","816"
"2023-08-13","828","779"
"2023-08-14","1012","879"
"2023-08-15","1052","959"
"2023-08-16","528","525"
"2023-08-17","678","650"
"2023-08-18","350","327"
"2023-08-19","984","875"
"2023-08-20","982","915"
"2023-08-21","656","630"
"2023-08-22","682","611"
"2023-08-23","485","420"
"2023-08-24","710","662"
"2023-08-25","622","575"
"2023-08-26","1069","1216"
"2023-08-27","1097","1075"
"2023-08-28","442","325"
"2023-08-29","66","58"
"2023-08-30","106","90"
"2023-08-31","502","501"
"2023-09-01","478","449"
"2023-09-02","700","818"
"2023-09-03","694","675"
"2023-09-04","358","314"
"2023-09-05","459","476"
"2023-09-06","369","397"
"2023-09-07","510","516"
"2023-09-08","415","498"
"2023-09-09","856","944"
"2023-09-10","794","866"
"2023-09-11","454","508"
"2023-09-12","465","452"
"2023-09-13","364","350"
"2023-09-14","151","111"
"2023-09-15","227","192"
"2023-09-16","787","767"
"2023-09-17","838","765"
"2023-09-18","322","266"
"2023-09-19","209","180"
"2023-09-20","391","326"
"2023-09-21","156","154"
"2023-09-22","227","160"
"2023-09-23","80","71"
"2023-09-24","353","331"
"2023-09-25","265","240"
"2023-09-26","340","319"
"2023-09-27","304","287"
"2023-09-28","303","295"
"2023-09-29","320","339"
"2023-09-30","521","568"
"2023-10-01","966","919"
"2023-10-02","261","238"
"2023-10-03","275","268"
"2023-10-04","38","34"
"2023-10-05","170","165"
"2023-10-06","194","207"
"2023-10-07","950","992"
"2023-10-08","737","700"
"2023-10-09","142","155"
"2023-10-10","134","121"
"2023-10-11","354","333"
"2023-10-12","308","292"
"2023-10-13","306","316"
"2023-10-14","718","760"
"2023-10-15","1","2"
"2023-10-16","84","81"
"2023-10-17","69","72"
"2023-10-18","99","105"
"2023-10-19","45","52"
"2023-10-20","1558","1298"
"2023-10-21","239","197"
"2023-10-22","521","499"
"2023-10-23","490","512"
"2023-10-24","291","267"
"2023-10-25","189","173"
"2023-10-26","386","327"
"2023-10-27","61","67"
"2023-10-28","255","247"
"2023-10-29","349","364"
"2023-10-30","1013","852"
"2023-10-31","266","293"
"2023-11-01","316","412"
"2023-11-02","1354","1156"
"2023-11-03","46","54"
"2023-11-04","2","5"
"2023-11-05","256","354"
"2023-11-06","49","54"
"2023-11-07","40","33"
"2023-11-08","55","49"
"2023-11-09","71","68"
"2023-11-10","31","18"
"2023-11-11","5","5"
"2023-11-12","79","96"
"2023-11-13","7","10"
"2023-11-14","7","10"
"2023-11-15","40","40"
"2023-11-16","187","202"
"2023-11-17","25","25"
"2023-11-18","193","181"
"2023-11-19","195","183"
"2023-11-20","4","4"
"2023-11-21","0","2"
"2023-11-22","2","0"
"2023-11-23","5","8"
"2023-11-24","22","19"
"2023-11-25","33","42"
"2023-11-26","71","66"
"2023-11-27","8","8"
"2023-11-28","25","15"
"2023-11-29","9","7"
"2023-11-30","30","70"
"2023-12-01","423","387"
"2023-12-02","148","143"
"2023-12-03","1","2"
"2023-12-04","119","131"
"2023-12-05","0","0"
"2023-12-06","2","1"
"2023-12-07","11","10"
"2023-12-08","8","2"
"2023-12-09","31","62"
"2023-12-10","37","38"
"2023-12-11","6","9"
"2023-12-12","9","14"
"2023-12-13","12","16"
"2023-12-14","3","1"
"2023-12-15","1","0"
"2023-12-16","5","1"
"2023-12-17","19","18"
"2023-12-18","7","6"
"2023-12-19","16","10"
"2023-12-20","4","6"
"2023-12-21","24","2"
