"","Kum","Kum","Storžič","Storžič","Lovrenška jezera","Lovrenška jezera","Triglavski narodni park","Triglavski narodni park","Osp","Osp","Vršič","Vršič"
"datum","vhodi","izhodi","vhodi","izhodi","vhodi","izhodi","vhodi","izhodi","vhodi","izhodi","vhodi","izhodi"
"2022-06-01","","","","","","","696","592","","","",""
"2022-06-02","","","","","","","392","351","","","",""
"2022-06-03","","","","","","","627","501","","","",""
"2022-06-04","","","","","","","1250","1238","","","",""
"2022-06-05","","","","","","","1258","1208","","","",""
"2022-06-06","","","","","","","721","661","","","",""
"2022-06-07","","","","","","","475","454","","","",""
"2022-06-08","","","","","","","603","572","","","",""
"2022-06-09","","","","","","","295","284","","","",""
"2022-06-10","","","","","","","832","755","","","",""
"2022-06-11","","","","","","","1276","1173","","","",""
"2022-06-12","","","","","","","1489","1349","","","",""
"2022-06-13","","","","","","","417","397","","","",""
"2022-06-14","","","","","","","988","881","","","",""
"2022-06-15","","","","","","","751","800","26","20","",""
"2022-06-16","","","","","","","845","824","33","27","",""
"2022-06-17","","","","","","","960","914","50","29","",""
"2022-06-18","","","","","","","1666","1598","28","34","",""
"2022-06-19","","","","","","","1479","1367","22","18","",""
"2022-06-20","3","0","","","","","644","604","45","61","",""
"2022-06-21","10","14","","","","","773","730","15","16","",""
"2022-06-22","1","2","","","","","712","678","18","17","",""
"2022-06-23","2","3","","","","","637","596","7","12","",""
"2022-06-24","4","4","","","","","773","676","36","21","",""
"2022-06-25","64","69","","","","","1590","1444","45","31","",""
"2022-06-26","53","42","","","","","1774","1757","11","15","",""
"2022-06-27","9","9","","","156","162","1149","892","30","37","",""
"2022-06-28","3","5","","","38","28","1464","916","40","41","",""
"2022-06-29","13","7","","","107","107","749","703","17","25","",""
"2022-06-30","10","7","","","140","148","1066","934","15","16","",""
"2022-07-01","14","14","","","183","196","1241","1031","15","14","",""
"2022-07-02","34","34","","","576","571","2731","1909","31","16","",""
"2022-07-03","83","89","","","687","693","3068","2602","28","12","",""
"2022-07-04","7","6","","","128","125","1767","1750","5","4","",""
"2022-07-05","4","1","","","48","47","1360","1315","16","18","",""
"2022-07-06","24","17","","","122","120","1599","1623","12","18","",""
"2022-07-07","4","6","","","12","13","956","980","6","8","",""
"2022-07-08","4","10","","","56","51","1643","1576","25","7","",""
"2022-07-09","39","51","","","521","532","2052","2008","7","10","",""
"2022-07-10","127","99","","","184","197","1923","2022","10","16","",""
"2022-07-11","7","5","","","90","82","1545","1528","","","",""
"2022-07-12","26","11","","","84","86","1165","982","0","0","",""
"2022-07-13","29","21","","","182","178","2401","1665","0","0","",""
"2022-07-14","9","5","","","142","140","1625","1629","10","5","",""
"2022-07-15","17","20","","","91","106","1128","1167","40","8","147","205"
"2022-07-16","41","29","","","360","370","1511","1314","18","18","369","308"
"2022-07-17","117","102","","","797","786","2243","2346","25","14","857","708"
"2022-07-18","10","8","","","165","174","1983","1670","16","14","519","435"
"2022-07-19","25","17","32","40","238","228","2046","1874","2","10","563","453"
"2022-07-20","12","15","63","81","307","295","2279","1990","22","27","627","558"
"2022-07-21","8","6","117","136","250","255","2023","1655","9","11","633","552"
"2022-07-22","10","15","199","169","226","251","1759","1512","8","8","659","601"
"2022-07-23","51","44","254","195","883","865","2106","1776","10","17","954","900"
"2022-07-24","111","102","61","64","536","560","2202","2089","7","10","643","566"
"2022-07-25","14","14","65","63","290","300","2048","1736","5","6","755","663"
"2022-07-26","12","7","68","66","35","36","1589","1483","2","5","307","303"
"2022-07-27","39","25","12","13","307","321","2076","2046","","","605","530"
"2022-07-28","68","54","103","111","348","361","2188","2240","0","0","908","822"
"2022-07-29","35","19","72","65","284","290","1684","1590","1","0","417","373"
"2022-07-30","7","3","7","9","67","86","1775","1318","16","15","550","516"
"2022-07-31","178","146","236","237","968","975","11945","2354","13","14","1237","1029"
"2022-08-01","9","9","59","55","195","209","5158","1802","2","2","738","591"
"2022-08-02","22","20","12","10","114","118","4436","1923","7","10","503","443"
"2022-08-03","45","32","62","62","485","488","4781","2460","7","13","961","856"
"2022-08-04","9","7","53","50","416","421","4713","2226","5","13","818","681"
"2022-08-05","10","2","35","44","405","508","3594","1888","7","4","467","740"
"2022-08-06","23","25","17","16","541","619","1713","1771","21","23","393","345"
"2022-08-07","156","146","104","93","1093","1146","2088","1933","26","52","319","261"
"2022-08-08","8","2","26","28","126","124","34704","1899","8","18","251","202"
"2022-08-09","27","34","57","69","472","472","107091","2306","6","11","1090","970"
"2022-08-10","66","60","84","79","533","559","119243","1955","26","21","987","902"
"2022-08-11","20","18","75","70","436","463","75829","2006","9","13","962","855"
"2022-08-12","5","5","19","15","128","130","66915","1290","2","6","302","279"
"2022-08-13","9","2","15","16","64","71","67269","1558","6","20","720","643"
"2022-08-14","119","102","259","227","1537","1598","162169","2110","31","37","1309","1188"
"2022-08-15","205","196","166","156","1618","1613","43149","2099","24","40","858","772"
"2022-08-16","14","9","28","31","221","220","50974","1623","3","4","594","595"
"2022-08-17","32","35","79","74","425","438","23592","1803","19","14","1023","925"
"2022-08-18","12","10","57","62","373","382","10658","1567","5","14","630","569"
"2022-08-19","17","6","3","3","200","219","93190","930","6","10","108","77"
"2022-08-20","19","18","148","132","188","202","140183","1740","17","15","593","552"
"2022-08-21","59","60","34","67","397","399","59440","2095","8","14","901","835"
"2022-08-22","5","4","5","1","36","45","1741","1629","2","5","521","477"
"2022-08-23","3","4","15","11","37","45","69480","1821","18","41","563","512"
"2022-08-24","13","9","53","61","279","309","41364","1836","27","40","826","783"
"2022-08-25","3","1","31","28","128","130","4901","1589","22","28","524","508"
"2022-08-26","19","13","25","16","235","231","15247","1278","8","15","448","415"
"2022-08-27","52","49","14","16","382","407","29743","907","15","22","324","304"
"2022-08-28","120","84","5","3","162","188","9263","921","16","16","186","177"
"2022-08-29","2","2","4","11","44","41","5794","929","12","18","433","368"
"2022-08-30","22","22","53","43","189","185","14344","869","12","10","469","398"
"2022-08-31","5","6","4","3","80","79","21742","300","2","5","30","22"
"2022-09-01","15","14","0","0","16","18","80282","256","12","16","199","168"
"2022-09-02","15","13","8","6","85","80","97231","450","4","11","515","481"
"2022-09-03","59","54","52","62","519","573","44270","846","31","50","629","583"
"2022-09-04","48","56","19","33","398","415","4381","643","39","54","468","426"
"2022-09-05","8","5","16","23","59","56","837","513","34","25","432","376"
"2022-09-06","23","22","49","51","139","138","66007","581","16","14","533","488"
"2022-09-07","8","8","5","9","67","59","77122","492","50","42","297","275"
"2022-09-08","6","6","0","0","159","204","72814","148","9","12","78","81"
"2022-09-09","5","0","5","0","35","32","65142","116","29","29","66","44"
"2022-09-10","28","24","10","20","238","256","108950","417","40","51","374","343"
"2022-09-11","76","49","28","25","197","203","160310","611","63","48","622","521"
"2022-09-12","2","2","21","18","59","76","100926","603","24","24","492","508"
"2022-09-13","12","8","18","21","107","103","628","799","23","41","398","395"
"2022-09-14","14","11","5","9","75","68","235","342","23","34","119","118"
"2022-09-15","42","61","1","1","6","6","83","81","20","20","54","48"
"2022-09-16","1","0","3","1","14","15","56","51","17","21","53","41"
"2022-09-17","2","2","10","7","2","4","108","125","24","19","82","54"
"2022-09-18","92","78","38","32","264","272","468","432","73","72","378","339"
"2022-09-19","3","6","15","9","63","63","262","300","38","67","320","268"
"2022-09-20","9","6","12","14","91","89","497","385","25","52","309","282"
"2022-09-21","11","19","19","19","72","81","265","308","59","85","308","264"
"2022-09-22","8","8","11","8","138","133","271","348","38","46","370","334"
"2022-09-23","35","25","56","43","72","73","221","259","93","55","338","321"
"2022-09-24","38","40","63","67","322","342","146","174","59","34","288","340"
"2022-09-25","1","5","0","0","2","3","38","39","0","0","21","14"
"2022-09-26","3","1","5","4","5","10","84","116","0","0","91","64"
"2022-09-27","0","0","0","0","5","3","24","23","0","0","35","11"
"2022-09-28","31","27","23","23","40","41","75","95","2","0","73","63"
"2022-09-29","2","0","2","1","3","2","29","28","0","0","16","15"
"2022-09-30","1","0","0","0","6","6","15","11","0","4","12","11"
"2022-10-01","20","28","3","1","71","71","92","55","0","0","109","83"
"2022-10-02","91","67","34","46","142","150","151","221","7","3","364","360"
"2022-10-03","3","5","2","1","53","49","81","66","0","0","187","176"
"2022-10-04","5","9","8","5","56","53","90","118","0","1","172","158"
"2022-10-05","33","20","11","15","27","26","112","122","0","0","258","253"
"2022-10-06","19","14","7","13","54","55","115","130","0","12","290","261"
"2022-10-07","12","11","8","29","39","48","186","179","1","6","279","264"
"2022-10-08","55","62","82","83","890","864","306","264","0","0","1024","1005"
"2022-10-09","50","52","5","7","172","180","143","220","1","6","209","174"
"2022-10-10","3","3","7","5","48","67","80","76","0","11","107","103"
"2022-10-11","6","2","7","4","36","36","89","98","0","0","249","248"
"2022-10-12","8","5","6","5","37","31","73","73","0","2","134","123"
"2022-10-13","13","7","34","36","140","127","97","85","0","0","238","237"
"2022-10-14","4","0","14","14","51","54","103","77","0","1","299","296"
"2022-10-15","39","38","75","62","261","281","232","224","6","29","950","896"
"2022-10-16","91","60","206","165","437","446","292","281","1","3","1802","1696"
"2022-10-17","2","1","12","11","27","30","67","59","0","5","266","247"
"2022-10-18","20","21","35","26","32","53","132","108","0","0","544","518"
"2022-10-19","86","56","42","33","40","44","131","127","0","0","550","518"
"2022-10-20","5","4","0","0","33","34","65","51","0","0","89","87"
"2022-10-21","13","10","22","18","44","67","44","49","0","0","89","76"
"2022-10-22","11","10","10","6","15","9","15","10","0","0","2","3"
"2022-10-23","39","29","40","25","173","179","138","98","0","0","278","269"
"2022-10-24","10","10","1","0","47","54","10","7","0","0","11","9"
"2022-10-25","1","2","3","0","2","2","32","33","0","0","27","29"
"2022-10-26","7","1","19","14","21","25","61","43","0","0","178","196"
"2022-10-27","14","12","41","31","30","36","122","107","0","0","329","319"
"2022-10-28","6","20","23","22","47","56","138","119","0","0","407","384"
"2022-10-29","56","48","199","160","371","405","497","439","0","0","999","919"
"2022-10-30","128","91","204","180","873","944","708","684","69","44","1572","1405"
"2022-10-31","111","80","218","172","854","912","603","631","80","83","1383","1264"
"2022-11-01","104","65","50","62","422","430","325","325","65","76","673","627"
"2022-11-02","12","7","6","5","103","100","50","55","45","28","139","125"
"2022-11-03","4","5","1","0","87","87","15","15","29","12","15","9"
"2022-11-04","1","1","0","0","1","1","12","7","7","1","4","2"
"2022-11-05","14","15","26","25","77","106","107","85","69","228","130","124"
"2022-11-06","92","75","185","147","130","143","174","134","103","77","410","388"
"2022-11-07","2","2","18","11","40","64","23","19","4","9","66","55"
"2022-11-08","10","6","20","22","14","18","37","35","11","11","56","62"
"2022-11-09","4","3","5","5","12","9","50","53","10","9","2","4"
"2022-11-10","0","1","0","0","1","2","24","16","3","0","1","0"
"2022-11-11","6","4","8","9","13","13","91","65","30","27","33","27"
"2022-11-12","19","21","41","41","90","111","674","587","79","94","115","106"
"2022-11-13","45","35","114","84","107","122","280","289","93","103","207","196"
"2022-11-14","4","2","1","1","39","47","51","42","9","17","6","6"
"2022-11-15","0","0","5","4","12","14","4","1","1","0","0","0"
"2022-11-16","0","0","0","0","4","3","0","0","0","2","0","2"
"2022-11-17","6","5","4","5","11","8","29","22","4","4","8","4"
"2022-11-18","1","1","0","0","11","14","26","13","4","43","0","0"
"2022-11-19","11","7","7","8","21","26","42","54","153","125","0","0"
"2022-11-20","26","19","7","4","11","15","49","60","184","172","0","0"
"2022-11-21","6","6","2","1","7","9","35","28","20","24","0","0"
"2022-11-22","0","0","1","0","1122","800","10","8","5","2","0","0"
"2022-11-23","3","2","2","0","377","344","13","10","12","25","",""
"2022-11-24","14","5","1","0","142","146","43","39","67","64","",""
"2022-11-25","5","4","0","0","0","0","23","15","39","46","",""
"2022-11-26","36","25","15","9","9","14","32","23","133","157","",""
"2022-11-27","66","48","4","0","29","30","38","40","271","312","",""
"2022-11-28","7","6","0","0","5","5","37","31","20","29","",""
"2022-11-29","1","1","0","0","0","0","25","22","29","27","",""
"2022-11-30","2","3","2","0","30","19","37","21","21","20","",""
"2022-12-01","0","0","0","0","717","558","22","19","36","29","",""
"2022-12-02","5","4","0","0","16","9","12","9","37","33","",""
"2022-12-03","9","6","0","0","17","34","7","7","86","83","",""
"2022-12-04","6","2","0","0","19","12","6","7","58","69","",""
"2022-12-05","1","0","0","0","0","0","3","3","5","4","",""
"2022-12-06","14","4","0","0","1","4","21","20","33","37","",""
"2022-12-07","4","4","2","3","0","4","14","12","10","17","",""
"2022-12-08","6","2","0","0","904","897","11","5","66","107","",""
"2022-12-09","2","2","0","0","883","730","4","4","10","6","",""
"2022-12-10","4","4","0","0","1","7","3","3","59","70","",""
"2022-12-11","17","10","0","0","77","71","4","7","16","57","",""
"2022-12-12","5","5","0","0","7","11","14","11","19","21","",""
"2022-12-13","11","8","0","0","6","5","36","32","31","19","",""
"2022-12-14","7","0","0","0","1","1","9","4","9","12","",""
"2022-12-15","0","0","0","0","15","15","","","18","24","",""
