datum,location_id,pretocnost
2022-06-01,4,1288
2022-06-02,4,743
2022-06-03,4,1128
2022-06-04,4,2488
2022-06-05,4,2466
2022-06-06,4,1382
2022-06-07,4,929
2022-06-08,4,1175
2022-06-09,4,579
2022-06-10,4,1587
2022-06-11,4,2449
2022-06-12,4,2838
2022-06-13,4,814
2022-06-14,4,1869
2022-06-15,2,46
2022-06-15,4,1551
2022-06-16,2,60
2022-06-16,4,1669
2022-06-17,2,79
2022-06-17,4,1874
2022-06-18,2,62
2022-06-18,4,3264
2022-06-19,2,40
2022-06-19,4,2846
2022-06-20,0,3
2022-06-20,2,106
2022-06-20,4,1248
2022-06-21,0,24
2022-06-21,2,31
2022-06-21,4,1503
2022-06-22,0,3
2022-06-22,2,35
2022-06-22,4,1390
2022-06-23,0,5
2022-06-23,2,19
2022-06-23,4,1233
2022-06-24,0,8
2022-06-24,2,57
2022-06-24,4,1449
2022-06-25,0,133
2022-06-25,2,76
2022-06-25,4,3034
2022-06-26,0,95
2022-06-26,2,26
2022-06-26,4,3531
2022-06-27,0,18
2022-06-27,1,318
2022-06-27,2,67
2022-06-27,4,2041
2022-06-28,0,8
2022-06-28,1,66
2022-06-28,2,81
2022-06-28,4,2380
2022-06-29,0,20
2022-06-29,1,214
2022-06-29,2,42
2022-06-29,4,1452
2022-06-30,0,17
2022-06-30,1,288
2022-06-30,2,31
2022-06-30,4,2000
2022-07-01,0,28
2022-07-01,1,379
2022-07-01,2,29
2022-07-01,4,2272
2022-07-02,0,68
2022-07-02,1,1147
2022-07-02,2,47
2022-07-02,4,4640
2022-07-03,0,172
2022-07-03,1,1380
2022-07-03,2,40
2022-07-03,4,5670
2022-07-04,0,13
2022-07-04,1,253
2022-07-04,2,9
2022-07-04,4,3517
2022-07-05,0,5
2022-07-05,1,95
2022-07-05,2,34
2022-07-05,4,2675
2022-07-06,0,41
2022-07-06,1,242
2022-07-06,2,30
2022-07-06,4,3222
2022-07-07,0,10
2022-07-07,1,25
2022-07-07,2,14
2022-07-07,4,1936
2022-07-08,0,14
2022-07-08,1,107
2022-07-08,2,32
2022-07-08,4,3219
2022-07-09,0,90
2022-07-09,1,1053
2022-07-09,2,17
2022-07-09,4,4060
2022-07-10,0,226
2022-07-10,1,381
2022-07-10,2,26
2022-07-10,4,3945
2022-07-11,0,12
2022-07-11,1,172
2022-07-11,4,3073
2022-07-12,0,37
2022-07-12,1,170
2022-07-12,2,0
2022-07-12,4,2147
2022-07-13,0,50
2022-07-13,1,360
2022-07-13,2,0
2022-07-13,4,4066
2022-07-14,0,14
2022-07-14,1,282
2022-07-14,2,15
2022-07-14,4,3254
2022-07-15,0,37
2022-07-15,1,197
2022-07-15,2,48
2022-07-15,4,2295
2022-07-15,5,352
2022-07-16,0,70
2022-07-16,1,730
2022-07-16,2,36
2022-07-16,4,2825
2022-07-16,5,677
2022-07-17,0,219
2022-07-17,1,1583
2022-07-17,2,39
2022-07-17,4,4589
2022-07-17,5,1565
2022-07-18,0,18
2022-07-18,1,339
2022-07-18,2,30
2022-07-18,4,3653
2022-07-18,5,954
2022-07-19,0,42
2022-07-19,1,466
2022-07-19,2,12
2022-07-19,3,72
2022-07-19,4,3920
2022-07-19,5,1016
2022-07-20,0,27
2022-07-20,1,602
2022-07-20,2,49
2022-07-20,3,144
2022-07-20,4,4269
2022-07-20,5,1185
2022-07-21,0,14
2022-07-21,1,505
2022-07-21,2,20
2022-07-21,3,253
2022-07-21,4,3678
2022-07-21,5,1185
2022-07-22,0,25
2022-07-22,1,477
2022-07-22,2,16
2022-07-22,3,368
2022-07-22,4,3271
2022-07-22,5,1260
2022-07-23,0,95
2022-07-23,1,1748
2022-07-23,2,27
2022-07-23,3,449
2022-07-23,4,3882
2022-07-23,5,1854
2022-07-24,0,213
2022-07-24,1,1096
2022-07-24,2,17
2022-07-24,3,125
2022-07-24,4,4291
2022-07-24,5,1209
2022-07-25,0,28
2022-07-25,1,590
2022-07-25,2,11
2022-07-25,3,128
2022-07-25,4,3784
2022-07-25,5,1418
2022-07-26,0,19
2022-07-26,1,71
2022-07-26,2,7
2022-07-26,3,134
2022-07-26,4,3072
2022-07-26,5,610
2022-07-27,0,64
2022-07-27,1,628
2022-07-27,3,25
2022-07-27,4,4122
2022-07-27,5,1135
2022-07-28,0,122
2022-07-28,1,709
2022-07-28,2,0
2022-07-28,3,214
2022-07-28,4,4428
2022-07-28,5,1730
2022-07-29,0,54
2022-07-29,1,574
2022-07-29,2,1
2022-07-29,3,137
2022-07-29,4,3274
2022-07-29,5,790
2022-07-30,0,10
2022-07-30,1,153
2022-07-30,2,31
2022-07-30,3,16
2022-07-30,4,3093
2022-07-30,5,1066
2022-07-31,0,324
2022-07-31,1,1943
2022-07-31,2,27
2022-07-31,3,473
2022-07-31,4,14299
2022-07-31,5,2266
2022-08-01,0,18
2022-08-01,1,404
2022-08-01,2,4
2022-08-01,3,114
2022-08-01,4,6960
2022-08-01,5,1329
2022-08-02,0,42
2022-08-02,1,232
2022-08-02,2,17
2022-08-02,3,22
2022-08-02,4,6359
2022-08-02,5,946
2022-08-03,0,77
2022-08-03,1,973
2022-08-03,2,20
2022-08-03,3,124
2022-08-03,4,7241
2022-08-03,5,1817
2022-08-04,0,16
2022-08-04,1,837
2022-08-04,2,18
2022-08-04,3,103
2022-08-04,4,6939
2022-08-04,5,1499
2022-08-05,0,12
2022-08-05,1,913
2022-08-05,2,11
2022-08-05,3,79
2022-08-05,4,5482
2022-08-05,5,1207
2022-08-06,0,48
2022-08-06,1,1160
2022-08-06,2,44
2022-08-06,3,33
2022-08-06,4,3484
2022-08-06,5,738
2022-08-07,0,302
2022-08-07,1,2239
2022-08-07,2,78
2022-08-07,3,197
2022-08-07,4,4021
2022-08-07,5,580
2022-08-08,0,10
2022-08-08,1,250
2022-08-08,2,26
2022-08-08,3,54
2022-08-08,4,36603
2022-08-08,5,453
2022-08-09,0,61
2022-08-09,1,944
2022-08-09,2,17
2022-08-09,3,126
2022-08-09,4,109397
2022-08-09,5,2060
2022-08-10,0,126
2022-08-10,1,1092
2022-08-10,2,47
2022-08-10,3,163
2022-08-10,4,121198
2022-08-10,5,1889
2022-08-11,0,38
2022-08-11,1,899
2022-08-11,2,22
2022-08-11,3,145
2022-08-11,4,77835
2022-08-11,5,1817
2022-08-12,0,10
2022-08-12,1,258
2022-08-12,2,8
2022-08-12,3,34
2022-08-12,4,68205
2022-08-12,5,581
2022-08-13,0,11
2022-08-13,1,135
2022-08-13,2,26
2022-08-13,3,31
2022-08-13,4,68827
2022-08-13,5,1363
2022-08-14,0,221
2022-08-14,1,3135
2022-08-14,2,68
2022-08-14,3,486
2022-08-14,4,164279
2022-08-14,5,2497
2022-08-15,0,401
2022-08-15,1,3231
2022-08-15,2,64
2022-08-15,3,322
2022-08-15,4,45248
2022-08-15,5,1630
2022-08-16,0,23
2022-08-16,1,441
