datum,dela_prost_dan
2022-01-01,True
2022-01-02,True
2022-02-08,True
2022-04-17,True
2022-04-18,True
2022-04-27,True
2022-05-01,True
2022-05-02,True
2022-06-05,True
2022-06-08,False
2022-06-25,True
2022-08-15,True
2022-08-17,False
2022-09-15,False
2022-10-25,False
2022-10-31,True
2022-11-01,True
2022-11-23,False
2022-12-25,True
2022-12-26,True
2023-01-01,True
2023-01-02,True
2023-02-08,True
2023-04-09,True
2023-04-10,True
2023-04-27,True
2023-05-01,True
2023-05-02,True
2023-05-28,True
2023-06-08,False
2023-06-25,True
2023-08-15,True
2023-08-17,False
2023-09-15,False
2023-10-25,False
2023-10-31,True
2023-11-01,True
2023-11-23,False
2023-12-25,True
2023-12-26,True
2024-01-01,True
2024-01-02,True
2024-02-08,True
2024-03-31,True
2024-04-01,True
2024-04-27,True
2024-05-01,True
2024-05-02,True
2024-05-19,True
2024-06-08,False
2024-06-25,True
2024-08-15,True
2024-08-17,False
2024-09-15,False
2024-10-25,False
2024-10-31,True
2024-11-01,True
2024-11-23,False
2024-12-25,True
2024-12-26,True
