DATE,RR
2022-01-01,0
2022-01-02,0
2022-01-03,1
2022-01-04,3
2022-01-05,303
2022-01-06,0
2022-01-07,0
2022-01-08,0
2022-01-09,0
2022-01-10,0
2022-01-11,0
2022-01-12,0
2022-01-13,0
2022-01-14,0
2022-01-15,0
2022-01-16,0
2022-01-17,0
2022-01-18,0
2022-01-19,0
2022-01-20,16
2022-01-21,0
2022-01-22,0
2022-01-23,0
2022-01-24,0
2022-01-25,0
2022-01-26,0
2022-01-27,0
2022-01-28,0
2022-01-29,0
2022-01-30,0
2022-01-31,26
2022-02-01,0
2022-02-02,0
2022-02-03,0
2022-02-04,0
2022-02-05,0
2022-02-06,12
2022-02-07,6
2022-02-08,0
2022-02-09,0
2022-02-10,0
2022-02-11,13
2022-02-12,0
2022-02-13,0
2022-02-14,25
2022-02-15,120
2022-02-16,0
2022-02-17,0
2022-02-18,2
2022-02-19,116
2022-02-20,0
2022-02-21,64
2022-02-22,0
2022-02-23,0
2022-02-24,0
2022-02-25,149
2022-02-26,0
2022-02-27,0
2022-02-28,0
2022-03-01,0
2022-03-02,0
2022-03-03,0
2022-03-04,0
2022-03-05,0
2022-03-06,0
2022-03-07,0
2022-03-08,0
2022-03-09,0
2022-03-10,0
2022-03-11,0
2022-03-12,0
2022-03-13,0
2022-03-14,0
2022-03-15,0
2022-03-16,0
2022-03-17,0
2022-03-18,0
2022-03-19,0
2022-03-20,0
2022-03-21,0
2022-03-22,0
2022-03-23,0
2022-03-24,0
2022-03-25,0
2022-03-26,0
2022-03-27,0
2022-03-28,0
2022-03-29,0
2022-03-30,68
2022-03-31,260
2022-04-01,146
2022-04-02,91
2022-04-03,0
2022-04-04,0
2022-04-05,0
2022-04-06,0
2022-04-07,0
2022-04-08,2
2022-04-09,154
2022-04-10,1
2022-04-11,0
2022-04-12,0
2022-04-13,0
2022-04-14,0
2022-04-15,23
2022-04-16,0
2022-04-17,0
2022-04-18,0
2022-04-19,73
2022-04-20,0
2022-04-21,96
2022-04-22,105
2022-04-23,3
2022-04-24,2
2022-04-25,0
2022-04-26,130
2022-04-27,40
2022-04-28,0
2022-04-29,0
2022-04-30,0
2022-05-01,204
2022-05-02,0
2022-05-03,0
2022-05-04,0
2022-05-05,0
2022-05-06,53
2022-05-07,40
2022-05-08,3
2022-05-09,0
2022-05-10,0
2022-05-11,0
2022-05-12,0
2022-05-13,4
2022-05-14,6
2022-05-15,0
2022-05-16,0
